Type,Name,Address,Rooms,Grade,District,PS/MC/UC,Logitiute,Latitude,AGA Division
bangalows,la villa sanctuary,"1143/g/6, the sanctuary, forest drive, thalawathugoda.",2,deluxe,colombo,colombo divisional secretariat,79.932122,6.879158,colombo
bangalows,cliff house,"labugolla, hatharaliyadda.",4,superior,kandy,kandy divisional secretariat,nan,nan,kandy
bangalows,paradise kandy,"195/7a,richmond hill estate, heerassagala,kandy",5,deluxe,kandy,kandy divisional secretariat,80.619126,7.276424,kandy
bangalows,sunrock,"195/1a, heerassagala road, kandy.",5,deluxe,kandy,kandy divisional secretariat,80.622612,7.27082,kandy
bangalows,the bliss,"18, wijeya road, tudella, ja ela.",5,superior,gampaha,ja-ela divisional secretariat,79.893517,7.066622,gampaha
bangalows,jungle tide,"uduwela,hantane,kandy",4,deluxe,kandy,kandy divisional secretariat,80.655947,7.233831,kandy
bangalows,natures treat bunglow,"494/4, 4th lane,ruwanpura south, kalapalaluwawe road, aggona junction",3,deluxe,colombo,battaramulla,79.920741,6.914802,kaduwela pradeshiya sabha
bangalows,kano lanka centre,"mahatenna estate, elkaduwa, matale.",10,standard,matale,ukuwela divisional secretariat,80.610315,7.409476,nan
bangalows,riverside bungalow,"river side bunglow, no 55, paradise island road,bentota",4,deluxe,galle,benthota divisional secretariat,nan,nan,bentota pradeshiya sabha
bangalows,liyon lanka,"188/1, n.j.v cooray mawatha, nawala,rajagiriya",5,deluxe,colombo,nugegoda divisional secretariat,nan,nan,colombo
bangalows,51 bungalow,"51,quintin fernando mawatha,negombo",2,deluxe,gampaha,negombo divisional secretariat,nan,nan,nan
bangalows,dinuda resort,"pudukuduerippu, sethawadi, kalpitiya",4,standard,puttalam,kalpitiya divisional secretariat,79.736991,8.229038,kalpitiya pradeshiya sabha
bangalows,lands end bungalow,"yaddehimulla road, unawatuna",7,deluxe,galle,habaraduwa divisional secretariat,80.240342,6.008725,habaraduwa
bangalows,gregory's bungalow,"109, upper lake road, nuwara eliya",6,deluxe,nuwara eliya,nuwara eliya divisional secretariat,80.784538,6.956362,nuwara eliya
bangalows,kahambe estate villa,"73/1, kahambe estate, kahambe, pilimathalawa",4,standard,kandy,udunuwara divisional secretariat,80.550455,7.255776,udunuwara pradeshiya sabha
bangalows,white palace,"no 92, galmaduwa estate, kundasale",5,superior,kandy,kundasale divisional secretariat,nan,nan,kundasle
bangalows,deen haus,"15/1, beach road, mountlavinia.",5,deluxe,colombo,dehiwala divisional secretariat,nan,nan,dehiwala-mount lavinia
bangalows,tearamb holiday bungalow,"38, karagasthalawa, katukithula",4,superior,nuwara eliya,kothmale divisional secretariat,80.676164,7.074153,wellawaya
bangalows,uva ben head plantation (upper) bungalow,"uva ben head estate, welimada",4,superior,badulla,welimada divisional secretariat,nan,nan,welimada pradeshiya sabha
bangalows,gaga addara guest,"7th mile post, hepola, diyakobbala, bibile",4,standard,moneragala,bibile divisional secretariat,nan,nan,bibile
bangalows,tranquilla,"kadjuwetiya road, pelpitigoda.",4,deluxe,kalutara,ingiriya divisional secretariat,nan,nan,pathahewaheta
bangalows,airport villa,"liver brother road, liyanagemulla road, seeduwa",5,deluxe,gampaha,katana divisional secretariat,79.872697,7.142227,seeduwa
bangalows,satori villa,"koratuwa gedara, mataramba road, unawatuna, galle.",4,deluxe,galle,akmeemana divisional secretariat,80.271419,6.021524,akmeemana
bangalows,galkanda walauwe,"27, walala, menikhinna",3,superior,kandy,kundasale divisional secretariat,80.687187,7.319149,kundasle
bangalows,hill way tour inn,"102 1/1, rajapihillawa mawatha, kandy",5,standard,kandy,kandy divisional secretariat,80.649055,7.283988,kandy
bangalows,ivory bungalow,"hasthi lanka, temple road, ganehimulla, devalapola",4,deluxe,gampaha,minuwangoda divisional secretariat,nan,nan,minuwangoda pradeshiya sabha
bangalows,dick oya bungalow,"hatton maskeliya road, dick oya estate, dick oya",4,deluxe,nuwara eliya,ambagamuwa divisional secretariat,nan,nan,hatton-dickoya
bangalows,mango villa,"54, templers road, mount lavinia",4,superior,colombo,mount lavinia,nan,nan,dehiwala-mount lavinia
bangalows,deerpoint bungalow,"18/7a,sisil sewana, sirimalwatta, kandy",6,superior,kandy,kandy divisional secretariat,80.650061,7.300052,kundasle
bangalows,serenity lake front villa,"90/15(90/13a), bilymoria mawatha, ihala indebedda, moratuwa",4,deluxe,colombo,moratuwa divisional secretariat,79.900295,6.77621,moratuwa
bangalows,galkadawala forest lodge,"galkadawala, palugaswewa, habarana",4,deluxe,polonnaruwa,palugaswewa,80.69252,8.031355,palugaswewa
bangalows,amali residance,"62/10, old kottawa road, dabare road, mirihana, nugegoda",5,deluxe,colombo,sri jayawadanapura,nan,nan,kotte muncipal council
bangalows,abeys villa,"140, galle road,pinwatte,panadura",5,deluxe,kalutara,kalutara divisional secretariat,79.918264,6.686462,panadura pradeshiya sabha
bangalows,kothmale holiday bungalow,"126, nawa nugawela, gampola",3,superior,nuwara eliya,kothmale divisional secretariat,80.592182,7.063135,nuwara eliya
bangalows,peacock residence,"nidangala watte, maligatenna, 5 ela, shrawastipura",5,standard,anuradhapura,anuradhapura east,80.38993,8.308446,anuradhapura
bangalows,thambili beach house,"400, guru kanda, dalawella, unawatuna, galle",4,deluxe,galle,habaraduwa divisional secretariat,nan,nan,habaraduwa
bangalows,plantation villa,"plantation villa, wattalaya watte, nehinna, dodangoda",8,deluxe,kalutara,kalutara divisional secretariat,80.062346,6.548825,kalutara pradeshiya sabha
bangalows,villa mayurana,"pelassa road, santhosagama 80650, ahangama",4,deluxe,galle,habaraduwa divisional secretariat,80.341569,6.007656,habaraduwa
bangalows,bolgoda cottage,"149, galkanuwa road, gorakana, keselwatte, moratuwa",4,deluxe,kalutara,kalutara divisional secretariat,nan,nan,kalutara pradeshiya sabha
bangalows,royal cocoon,"2, wedderburn road, nuwara eliya",7,deluxe,nuwara eliya,nuwara eliya divisional secretariat,80.770444,6.968445,nuwara eliya
bangalows,apsara,"332, welipenna road, aluthgama",3,deluxe,kalutara,aluthgama,80.003386,6.433525,aluthgama
bangalows,pasmeegoda estate bungalow,"pasmeegoda estate, koholana, kalutara",4,standard,kalutara,kalutara divisional secretariat,79.966016,6.588994,kalutara pradeshiya sabha
bangalows,hill crest villa,"3, hill crest villa green, uda peradeniya, kandy",5,superior,kandy,gagawata,80.61694,7.257661,kandy
bangalows,mango house,"3, leyn baan cross street, galle fort, galle",7,deluxe,galle,galle divisional secretariat,80.218427,6.026796,galle
bangalows,the kandyan villa,"532/30, heerassagala road, heerassagala, kandy",3,deluxe,kandy,gagawata,80.622027,7.266516,gagawata koralya
bangalows,splashbug residencies,"42/2, watamawatha road, nawinna, maharagama",5,superior,colombo,maharagama divisional secretariat,nan,nan,colombo
bangalows,fort bliss,"84, light house street, fort, galle",4,deluxe,galle,galle divisional secretariat,80.217201,6.024691,galle
bangalows,heritage life,"46/100,. kasapagama, pidurangala, sigiriya",3,deluxe,matale,dambulla divisional secretariat,nan,nan,dambulla pradeshiya sabha
bangalows,1st choice,"9/1, first lane, ratmalana, mount lavinia",5,standard,colombo,ratmalana divisional secretariat,79.875503,6.819636,dehiwala-mount lavinia
bangalows,villa baywatch,"peela road, buonavista, rumassala, galle",6,deluxe,galle,habaraduwa divisional secretariat,80.23837,6.016349,habaraduwa
bangalows,ketha tourist bungalow,"induruowita, thithagalla, ahangama",3,superior,galle,imaduwa divisional secretariat,nan,nan,galle
bangalows,villa rosa,"71/20, dodanwela passage, asgiriya, kandy",5,deluxe,kandy,gagawata,80.623796,7.299604,kandy
bangalows,aara residences,"9/4, de seram road, mount lavinia",4,superior,colombo,colombo divisional secretariat,nan,nan,colombo
bangalows,modern city inn,"426, main street, negambo",8,superior,gampaha,negombo divisional secretariat,79.844831,7.212444,gampaha
bangalows,max wadiya,"147,galle road, (parrot junction), urawatte, ambalangoda",3,deluxe,galle,galle divisional secretariat,80.057195,6.220452,galle
bangalows,leisure bungalow,"101/18, manikpuragama, wallimatagama, kataragama",4,superior,moneragala,moneragala divisional secretariat,nan,nan,katharagama
bangalows,beddegama ecopark,"653/3, kawanthissapura, tissamaharama",7,deluxe,hambantota,thissamaharama divisional secretariat,nan,nan,thissamaharama
bangalows,colombo loft,"365/3, r.a de mel mawatha, colombo 3",1,superior,colombo,colombo divisional secretariat,nan,nan,colombo
bangalows,tamarind,"1/104, rahula mawatha, digana",3,superior,kandy,kundasale divisional secretariat,80.749437,7.265486,kundasle
bangalows,hill safari,"lower bray estate, ohiya",5,standard,badulla,haldummulla divisional secretariat,80.8563,6.797426,welimada pradeshiya sabha
bangalows,oak residencies,"no. 83/2/1 & 83/2/2, sarathchandra dias mawatha, pamunuvila, kiribathgoda",4,deluxe,gampaha,biyagama divisional secretariat,79.932283,6.970955,gampaha
bangalows,lalith villa,"35, samudradevi mawatha, ethul kotte",4,deluxe,colombo,colombo divisional secretariat,nan,nan,kotte muncipal council
bangalows,lanka star bungalow,"66/6, rathnayke mawatha, pelawatte, battaramulla",4,deluxe,colombo,kaduwela divisional secretariat,79.926141,6.886401,kaduwela pradeshiya sabha
bangalows,wadduwa beach villa,"36/17, sanath perera mawatha, south thalpitiya, wadduwa",6,deluxe,kalutara,panadura divisional secretariat,79.922982,6.670927,panadura pradeshiya sabha
bangalows,lotus chalets eco hotel-udawalawa,"pahala kumbukewewa, canal road, migahajandura, sooriyawewa",3,superior,hambantota,sooriyawewa divisional secretariat,81.02264,6.365119,hambantota
bangalows,villa de roshe,"60 6c, unique view road, nuwara eliya",3,deluxe,nuwara eliya,nuwara eliya divisional secretariat,80.762589,6.963889,nuwara eliya
bangalows,cranford villa,"542, kahagolla, diyathalawa",5,deluxe,badulla,bandarawela divisional secretariat,nan,nan,haputale
bangalows,the shady nook - digana,"1/149, victoria range, kengalla",4,superior,kandy,kundasale divisional secretariat,80.737145,7.288235,kundasle
bangalows,kandy salubrious residence,"13/4, deekirimadawala, nattarampotha",5,deluxe,kandy,kundasale divisional secretariat,nan,nan,kundasle
bangalows,hatale bungalow,"392, main street, matale",5,deluxe,kandy,kandy divisional secretariat,80.727487,7.374981,kandy
bangalows,coco ville,"waterville estate, kumburumula road, kalkuda",3,deluxe,batticaloa,batticaloa divisional secretariat,81.565127,7.910318,batticaloa
bangalows,kandy hills bungalow,"96/1, punchi bogapitiya, dumara mawatha, balagola",2,deluxe,kandy,kandy divisional secretariat,nan,nan,kandy
bangalows,escondite,"17/2, sudharman mawatha, rajamaha vihara road, pita-kotte",5,deluxe,colombo,battaramulla,79.913016,6.881239,colombo
bangalows,lake view villa,"lake view villa, kathaluwa, ahangama.",4,deluxe,galle,habaraduwa divisional secretariat,80.346964,5.993668,habaraduwa
bangalows,hala house colombo,"no 7, kothalawala gardens, colombo 4",9,deluxe,colombo,thimbirigasyaya divisional secretariat,nan,nan,colombo
bangalows,elephant reach villa,"no 686, kegalle - rambukkana road, pinnawala",4,superior,kegalle,rambukkana divisional secretariat,80.386898,7.304627,rambukkana pradeshiya sabha
bangalows,field garden,"no 183/1, station mawatha, maharagama",4,superior,colombo,maharagama divisional secretariat,nan,nan,maharagama
bangalows,zoda bolgoda,"wadakkara kotuwa, medagama, bandaragama",3,superior,kalutara,bandaragama divisional secretariat,nan,nan,bandaragama pradeshiya sabha
bangalows,ancoombra holiday bungalow,"392, main street, matale",4,deluxe,kandy,poojapitiya divisional secretariat,nan,nan,kandy
bangalows,light house property,"48, light house street, fort, galle",4,deluxe,galle,galle divisional secretariat,nan,nan,galle
bangalows,ambalama villa,"596, matara road, dalawella, unawatuna",4,deluxe,galle,habaraduwa divisional secretariat,80.260597,6.00147,habaraduwa
bangalows,satin sands lanka,"796, matara road, mihiripanna, thalpe",4,deluxe,galle,habaraduwa divisional secretariat,nan,nan,habaraduwa
bangalows,heritage bungalow (pvt) ltd,"no 59, miriswatte, puwakpitiya",3,superior,colombo,seethawaka divisional secretariat,nan,nan,seethawaka pradeshiya sabha
bangalows,shady grove tourist bungalow,"7, ganthera mawatha, watapulawa, kandy",4,superior,kandy,kandy divisional secretariat,80.6434,7.321631,kandy
bangalows,villa panorama,"429/5, sarasavigama road, mahakanda, hindagala",6,deluxe,kandy,kandy divisional secretariat,80.610235,7.224908,gagawata koralya
bangalows,diyagal villa,"42, pitawala road, hiriwadunna, pinnawala, rambukkana",4,superior,kegalle,rambukkana divisional secretariat,80.387853,7.288899,kegalle
bangalows,kadugannawa reach,"yatantale, udamulla",7,standard,kegalle,mawanella divisional secretariat,nan,nan,kegalle
